,prim_okved,zsk,inn_type,company_age,phone_mask,is_fraud
12861,90.01,-1,2,mid,7916292,1
12862,63.11,-1,2,new,7919466,0
12863,47.91,-1,2,mid,7987657,0
12864,59.20.2,-1,2,mid,7999450,0
12865,46.73,1,2,new,7919235,1
12866,46.18,-1,2,mid,7960054,0
12867,49.42,2,2,mid,7900076,1
12868,45.31,2,1,mid,7993337,0
12869,47.76,-1,2,mid,7902412,0
12870,62.0,-1,1,mid,7900625,0
12871,68.32,-1,1,old,7968478,0
12872,43.29,-1,1,mid,7987448,0
12873,46.90,2,2,mid,7960700,1
12874,41.20,2,1,mid,7921771,0
12875,46.90,2,1,mid,7916576,1
12876,45.2,-1,1,mid,7921950,1
12877,47.91,-1,2,mid,7952450,0
12878,46.90,1,1,mid,7913786,1
12879,49.41,-1,2,old,7915954,0
12880,96.02.1,-1,2,mid,7965034,0
12881,47.19,-1,2,mid,7921334,0
12882,79.11,-1,2,old,7921721,0
12883,43.22,-1,2,mid,7989190,1
12884,29.32,-1,2,mid,7961302,1
12885,62.01,-1,2,mid,7926210,0
12886,31.09,-1,2,mid,7921051,1
12887,46.18,2,2,mid,7913796,0
12888,68.20.1,2,1,mid,7905309,0
12889,46.90,2,1,mid,7985966,1
12890,69.10,1,1,old,7902832,0
12891,41.20,1,1,mid,7936160,0
12892,46.90,2,2,mid,7965819,1
12893,41.20,1,2,mid,7995683,1
12894,45.20.3,1,2,mid,7961297,0
12895,46.31.1,1,1,mid,7994107,1
12896,74.30,-1,2,new,7963751,0
12897,47.91.2,-1,2,new,7987042,1
12898,46.90,1,1,mid,7925255,0
12899,95.12,-1,2,old,7913912,0
12900,93.29,2,1,mid,7904671,1
12901,33.12,-1,2,mid,7919885,1
12902,56.10,-1,1,mid,7996579,0
12903,43.11,1,1,mid,7911505,1
12904,49.41,-1,2,mid,7926080,0
12905,01.13,1,1,old,7951121,1
12906,68.20,-1,2,mid,7925508,0
12907,46.73,1,1,mid,7960576,1
12908,43.22,-1,2,old,7950195,0
12909,42.21,-1,1,mid,7925298,0
12910,46.73,2,1,mid,7992248,1
12911,43.11,1,1,old,7991790,0
12912,49.41,-1,1,mid,7937182,0
12913,01.47,-1,2,mid,7912636,0
12914,73.11,1,2,mid,7918073,1
12915,64.92,-1,1,mid,7962272,0
12916,70.22,1,1,mid,7964624,1
12917,46.90,2,2,mid,7913742,1
12918,81.21,1,1,mid,7991272,0
12919,41.20,-1,1,mid,7916688,0
12920,46.90,2,2,mid,7953348,0
12921,41.20,-1,1,mid,7963954,1
12922,85.41,1,2,mid,7929777,0
12923,41.20,-1,1,mid,7915032,0
12924,95.11,2,2,mid,7912475,1
12925,69.10,-1,2,mid,7903545,0
12926,69.10,-1,1,old,7999171,0
12927,46.90,2,1,mid,7901205,0
12928,41.20,-1,1,mid,7922505,0
12929,43.39,1,1,mid,7908812,0
12930,41.20,-1,2,old,7903687,1
12931,47.91,-1,2,mid,7905215,1
12932,46.73,1,1,old,7985361,0
12933,81.22,1,2,mid,7969720,1
12934,63.99.1,-1,2,old,7910464,0
12935,47.78.9,-1,2,mid,7962754,0
12936,49.41,1,2,mid,7913095,1
12937,46.73,2,1,mid,7904890,0
12938,73.11,-1,2,mid,7988757,1
12939,46.90,2,1,mid,7951006,1
12940,96.02,1,1,mid,7952035,0
12941,43.99,-1,1,mid,7921446,1
12942,43.32.3,2,2,mid,7919906,1
12943,47.91,-1,1,old,7924220,1
12944,77.11,-1,2,new,7927011,0
12945,73.11,-1,2,old,7963218,1
12946,49.41,-1,2,mid,7929987,1
12947,68.32,1,1,new,7921941,1
12948,47.11,-1,2,old,7920253,0
12949,14.13,-1,2,old,7981718,0
12950,41.20,1,1,mid,7964643,1
12951,41.20,-1,2,mid,7996030,0
12952,49.32,-1,2,mid,7965051,1
12953,43.31,1,2,old,7925027,1
12954,46.49,-1,2,mid,7982987,1
12955,41.20,-1,1,mid,7921723,0
12956,56.10,-1,2,mid,7961666,0
12957,47.8,-1,2,mid,7960600,0
12958,62.01,-1,2,mid,7982940,0
12959,43.39,1,2,mid,7936517,1
12960,47.21,-1,2,mid,7911841,0
12961,49.32,-1,2,new,7960781,0
12962,41.20,2,2,mid,7992528,1
12963,74.90.6,-1,2,mid,7981253,1
12964,49.41,-1,2,mid,7906296,1
12965,49.42,-1,2,old,7909435,0
12966,47.21,-1,1,new,7983462,0
12967,47.76,1,2,mid,7913784,1
12969,10.41,-1,2,old,7950227,0
12970,46.90,2,1,old,7999289,0
12971,47.91,-1,2,old,7921779,0
12972,47.91,-1,2,mid,7953575,0
12973,46.90,1,1,mid,7980406,1
12974,46.73,-1,1,old,7923155,0
12975,59.11,-1,1,mid,7926401,0
12976,47.72,1,1,mid,7952037,1
12977,41.20,1,1,mid,7908039,1
12978,46.90,1,1,mid,7952002,1
12979,47.91,-1,2,old,7911836,0
12980,43.91,2,1,mid,7919916,1
12982,46.73,1,2,mid,7903955,1
12983,46.73,1,1,old,7930110,0
12984,69.20.2,-1,2,mid,7920919,0
12985,77.32,-1,2,mid,7989505,1
12986,43.31,1,2,mid,7908064,1
12987,46.48.2,-1,1,mid,7926886,0
12988,47.52.79,-1,1,mid,7995751,1
12989,85.41.9,1,2,mid,7953453,0
12990,41.20,-1,2,mid,7904647,1
12991,46.90,2,1,mid,7951425,0
12992,45.31,2,1,mid,7994406,0
12993,47.91,1,2,mid,7911117,0
12994,25.11,-1,1,mid,7906677,1
12995,62.02,-1,1,old,7918245,0
12996,41.10,-1,2,mid,7920214,0
12997,41.10,2,2,old,7903692,0
12998,62.01,2,2,mid,7927809,1
12999,62.01,2,2,mid,7996298,1
13000,46.90,2,1,mid,7961133,1
13001,46.31,-1,1,mid,7952902,0
13002,43.29,2,1,mid,7919333,1
13003,43.21,-1,2,mid,7987951,1
13004,41.20,-1,2,mid,7995037,0
13005,41.20,1,1,old,7913205,1
13006,95.21,-1,2,mid,7904671,0
13007,46.90,1,1,mid,7985839,0
13008,62.02,1,1,old,7988765,0
13009,62.01,-1,2,new,7903181,0
13010,41.20,1,2,mid,7901437,1
13011,49.41,2,1,mid,7983100,1
13012,56.10,-1,1,mid,7977127,0
13013,41.20,1,1,mid,7916667,1
13014,46.77,-1,2,mid,7922608,1
13015,62.01,-1,2,old,7952391,1
13016,46.49.4,1,1,mid,7987957,1
13017,41.20,1,1,mid,7999483,0
13018,33.14,-1,2,mid,7988358,1
13019,47.59.3,-1,2,mid,7908931,0
13020,47.19,2,1,mid,7913210,1
13021,43.99,-1,1,mid,7917858,0
13022,49.32,-1,2,old,7960464,0
13023,47.91,-1,2,mid,7987738,0
13024,81.10,-1,1,mid,7905234,1
13025,43.11,2,1,mid,7999799,1
13026,73.11,-1,2,old,7911943,0
13027,43.12,2,1,old,7905315,1
13028,73.11,2,2,mid,7963050,1
13029,62.01,-1,2,mid,7999420,0
13030,49.32,-1,2,old,7982468,1
13032,47.53.3,-1,2,mid,7921131,0
13033,63.11.1,-1,2,mid,7916618,0
13034,73.11,-1,2,old,7901049,1
13035,47.79.3,-1,2,mid,7926813,0
13036,43.21,1,2,mid,7931597,0
13037,47.91,-1,2,old,7985211,0
13038,25.11,1,1,mid,7963546,1
13039,46.69,-1,1,mid,7926483,0
13040,47.91,1,2,old,7988531,0
13041,43.29,-1,1,mid,7996692,1
13042,46.73,-1,2,mid,7950737,0
13043,43.29,2,2,mid,7920917,1
13044,49.32,-1,2,mid,7908830,0
13045,49.31,-1,2,mid,7951803,0
13046,96.09,2,1,mid,7925960,1
13047,47.52,-1,2,mid,7964855,0
13048,43.31,1,1,mid,7930933,1
13049,49.41,-1,1,new,7929644,0
13050,45.31,-1,2,new,7908972,0
13051,43.29,1,1,mid,7993777,1
13052,69.20,2,1,mid,7920345,1
13053,47.19,-1,1,mid,7908804,0
13054,62.01,-1,2,new,7961500,0
13055,46.42,2,2,mid,7913768,1
13056,42.11,1,1,mid,7923141,0
13057,81.21,1,1,mid,7964671,0
13058,47.91,-1,2,mid,7909383,0
13060,62.01,-1,2,old,7922602,0
13061,73.11,1,2,new,7929420,1
13062,46.90,2,1,mid,7964327,1
13063,77.29.1,-1,1,mid,7919768,0
13064,46.46,-1,2,old,7938038,0
13065,73.11,-1,2,old,7915316,0
13066,47.91,-1,2,new,7927773,0
13067,43.22,-1,1,new,7920545,0
13068,43.29,-1,2,new,7996927,0
13069,43.21,2,1,mid,7900557,0
13070,41.20,1,2,mid,7995645,1
13071,46.90,-1,1,mid,7923167,0
13072,32.12,-1,2,mid,7961127,0
13073,41.20,-1,1,old,7999546,0
13074,47.99.1,-1,2,mid,7909446,0
13075,47.91,-1,2,mid,7919775,0
13076,43.39,-1,2,mid,7962344,0
13077,43.21,1,1,mid,7913637,0
13078,46.90,2,1,mid,7919903,1
13079,46.69.5,1,1,mid,7961132,0
13080,73.11,-1,2,old,7985747,0
13081,47.41,-1,2,new,7993911,0
13082,71.12.2,-1,1,new,7913653,0
13083,69.10,1,1,old,7992289,1
13084,46.71,1,1,mid,7915618,0
13085,68.20,-1,2,old,7929902,0
13086,43.29,1,1,mid,7951455,0
13087,85.41,-1,2,mid,7909656,0
13088,71.12,-1,2,old,7985767,0
13089,46.73,1,1,mid,7952241,0
13090,73.11,-1,2,mid,7961002,1
13091,31.0,-1,2,mid,7911231,1
13092,68.32,-1,1,mid,7952294,0
13093,46.38,-1,1,mid,7968125,0
13094,46.73,1,2,mid,7992516,0
13095,45.20,-1,2,mid,7977099,1
13096,43.21,2,2,mid,7919705,1
13097,47.91,-1,2,new,7909808,0
13098,43.21,1,2,mid,7916059,1
13099,46.72.23,2,1,mid,7985758,0
13100,43.21,1,2,mid,7920511,1
13101,73.20,-1,2,mid,7903968,0
13102,49.32,-1,2,mid,7922192,1
13103,46.69,1,1,old,7913942,1
13104,47.11.3,-1,2,mid,7904794,1
13105,46.17.1,-1,1,mid,7925418,0
13106,43.39,-1,2,mid,7981504,1
13107,41.20,-1,1,mid,7923187,1
13108,47.91.2,-1,2,mid,7902141,1
13109,77.29,2,1,mid,7913231,1
13110,25.61,1,1,mid,7982113,1
13111,49.42,2,1,mid,7926096,0
13112,25.62,-1,1,old,7981125,1
13113,82.99,-1,2,old,7913230,0
13114,45.20.3,1,2,mid,7983315,1
13115,02.20,2,2,mid,7902611,1
13116,62.02,-1,2,new,7909196,0
13117,47.91,-1,2,mid,7937240,0
13118,62.09,-1,2,old,7921433,0
13119,45.20,-1,2,mid,7995996,0
13120,01.25,-1,1,mid,7978738,0
13121,46.71,-1,1,new,7960829,0
13122,46.90,1,1,mid,7913555,1
13123,49.41.1,2,2,mid,7953042,1
13124,70.21,2,1,old,7983136,1
13125,46.73.6,-1,2,mid,7928324,1
13126,90.03,-1,2,mid,7950028,0
13127,62.01,-1,1,old,7921938,0
13128,47.91,-1,2,mid,7918222,0
13129,43.39,1,1,mid,7996792,1
13130,47.52,1,2,mid,7915806,0
13131,63.11,-1,2,mid,7953773,0
13132,43.39,2,2,mid,7900926,1
13133,43.21,-1,1,old,7917557,0
13134,43.39,2,1,mid,7911194,1
13135,49.41,-1,2,mid,7982102,0
13136,46.39,-1,2,old,7969721,0
13137,47.91.2,2,1,mid,7953822,0
13138,46.71,-1,1,mid,7913757,0
13139,46.72,2,1,mid,7904836,0
13140,46.69,-1,1,mid,7964331,1
13141,62.02,-1,2,old,7926022,0
13142,41.20,1,1,mid,7928616,0
13143,47.11,1,2,mid,7923360,0
13144,41.20,2,1,mid,7980708,1
13146,45.2,-1,1,old,7904373,0
13147,93.2,-1,2,old,7904311,1
13148,46.90,1,1,old,7980746,1
13149,49.41,1,2,mid,7951575,1
13150,69.20,-1,2,mid,7982609,0
13151,68.20,-1,2,mid,7929236,0
13152,47.91,-1,2,mid,7999239,1
13153,43.29,2,1,mid,7960051,0
13154,47.91,-1,2,mid,7952578,0
13155,81.10,-1,2,mid,7937031,1
13156,43.33,-1,2,mid,7925245,0
13157,62.01,-1,2,old,7918364,0
13158,81.29,-1,2,old,7982257,1
13159,47.91,-1,2,mid,7981954,0
13160,41.20,1,1,new,7915409,0
13161,43.29,-1,2,old,7999126,0
13162,46.47.1,2,2,mid,7985967,0
13163,41.10,-1,1,old,7915219,1
13164,46.17,-1,1,mid,7977884,0
13165,95.29,-1,2,new,7985697,1
13166,46.42,-1,1,mid,7967213,0
13167,47.21,1,2,mid,7909299,0
13168,41.20,-1,2,new,7913441,0
13169,43.33,-1,1,old,7911841,0
13170,43.21,1,1,mid,7977560,1
13171,82.19,1,2,mid,7953871,1
13172,47.76,2,2,new,7960088,0
13173,47.91,2,2,mid,7950547,1
13174,43.29,-1,1,mid,7992525,1
13175,45.31,2,1,mid,7927024,1
13176,45.11.2,-1,1,mid,7916076,0
13177,71.20,1,1,mid,7930305,1
13178,43.29,2,2,mid,7963442,0
13179,45.31,1,1,new,7980430,1
13180,52.29,1,1,mid,7981851,0
13181,41.20,1,1,new,7902505,0
13182,46.90,-1,1,mid,7985991,0
13183,46.90,-1,1,old,7914703,1
13184,96.02,-1,2,old,7925598,0
13185,73.11,-1,2,mid,7929112,0
13186,49.32,-1,2,mid,7960702,0
13187,77.29,1,1,mid,7901207,1
13188,47.19,2,1,mid,7904845,1
13189,62.01,1,1,mid,7995887,1
13190,78.30,-1,1,mid,7999824,1
13191,62.01,1,1,new,7911772,0
13192,43.31,-1,2,old,7900138,0
13193,71.11.1,-1,2,old,7917243,0
13194,43.21,1,2,new,7953106,0
13195,49.41,-1,1,old,7981968,1
13196,96.02,-1,2,mid,7912495,1
13197,52.29,-1,1,old,7929702,0
13198,41.10,1,1,mid,7982435,1
13199,79.11,-1,1,mid,7995597,0
13200,62.01,-1,2,mid,7923486,0
13201,49.4,-1,1,new,7920616,0
13202,43.34,-1,2,mid,7928334,1
13203,41.20,-1,1,old,7982315,1
13204,41.20,-1,1,new,7904286,1
13205,38.32,-1,1,new,7913912,0
13206,63.11.1,-1,2,old,7904678,0
13207,73.11,2,1,mid,7925112,0
13208,46.90,1,2,mid,7952525,1
13209,63.12,-1,2,old,7911775,1
13210,22.11,-1,2,mid,7977014,1
13211,43.21,-1,2,mid,7951670,0
13212,43.39,-1,2,old,7903692,0
13213,85.41,-1,2,old,7906800,0
13214,47.91.2,-1,1,old,7921913,1
13215,45.20,-1,2,mid,7904099,0
13216,45.31,-1,1,old,7911911,1
13218,42.99,-1,2,mid,7953578,0
13219,49.31,-1,2,mid,7902016,0
13220,25.12,-1,2,mid,7961422,0
13221,69.10,-1,2,old,7917149,1
13222,46.90,1,1,old,7913732,0
13223,95.11,-1,2,mid,7909028,1
13224,47.91,-1,2,new,7995021,0
13225,56.30,-1,2,mid,7912618,0
13226,46.47,-1,1,mid,7960047,0
13227,95.24,-1,2,new,7913757,0
13228,43.39,-1,2,mid,7982753,0
13229,69.20,-1,2,old,7983136,0
13230,46.72,-1,1,mid,7999510,1
13231,61.90,-1,2,old,7981744,1
13232,01.42.11,-1,2,old,7982233,0
13233,52.24,2,1,mid,7929546,0
13234,46.90,2,1,mid,7913965,1
13235,47.91,-1,2,old,7921429,0
13236,49.41,1,2,mid,7926446,0
13237,41.20,2,1,mid,7965311,1
13238,56.10.2,-1,2,old,7911162,0
13239,62.01,1,2,old,7919911,1
13240,56.29,-1,2,mid,7913467,0
13241,73.11,-1,2,old,7985218,1
13242,81.22,1,2,mid,7992000,1
13243,47.91.2,-1,1,old,7926732,1
13244,43.22,-1,2,mid,7918007,0
13245,43.21,-1,2,old,7987915,1
13246,77.11,-1,2,old,7913912,0
13247,70.22,-1,2,mid,7999529,0
13248,49.39,-1,2,mid,7903740,0
13249,86.23,-1,1,mid,7911808,0
13251,47.71,-1,2,mid,7920358,0
13252,43.2,-1,1,mid,7977597,0
13253,18.12,-1,2,mid,7991435,0
13254,47.64,1,1,old,7916076,1
13255,49.42,-1,2,mid,7965409,0
13256,43.21,-1,2,mid,7921144,0
13257,52.29,1,1,mid,7916795,1
13258,80.10,-1,1,mid,7921992,1
13259,46.65,1,2,new,7930401,0
13260,73.11,-1,2,old,7963712,0
13261,49.41,-1,2,mid,7921777,0
13262,68.31.31,-1,2,old,7912888,1
13263,47.91,-1,2,mid,7961243,1
13264,64.92,-1,1,mid,7995505,0
13265,43.39,1,2,mid,7925549,1
13267,47.72,2,1,old,7987234,1
13268,62.01,-1,2,mid,7918539,1
13269,46.74,2,1,mid,7917140,1
13270,74.10,-1,2,mid,7950023,1
13271,77.39,-1,2,mid,7927260,1
13272,47.11,-1,2,mid,7988499,0
13273,46.90,2,1,mid,7951193,0
13274,70.22,-1,2,old,7925995,0
13275,43.91,1,2,mid,7902867,0
13276,47.78,-1,2,mid,7924268,1
13277,46.76.1,-1,1,mid,7911176,1
13278,63.11,-1,2,mid,7963134,0
13280,49.41,1,2,mid,7915527,1
13281,49.41,-1,2,mid,7912757,1
13282,46.13,1,1,new,7981192,1
13283,13.92,-1,1,old,7915087,0
13284,46.73.6,1,2,mid,7904197,0
13285,41.20,2,1,mid,7914315,0
13286,47.91,-1,1,new,7985175,0
13287,41.20,-1,2,old,7902219,1
13288,43.21,1,1,old,7931243,1
13289,62.01,-1,2,new,7999466,0
13290,46.36,1,1,mid,7951799,1
13291,52.29,1,1,mid,7962613,1
13292,43.29,-1,2,new,7926641,0
13293,49.4,2,1,mid,7911855,1
13294,62.01,-1,2,old,7916802,0
13295,56.10.21,-1,2,mid,7906113,0
13296,46.90,1,1,old,7922509,1
13297,41.20,1,1,mid,7932050,0
13298,74.20,-1,2,mid,7905500,0
13299,43.39,-1,2,new,7927730,1
13300,10.71,-1,1,old,7902418,0
13301,41.20,-1,2,mid,7932115,0
13303,46.90,2,1,mid,7908827,1
13304,43.29,1,2,mid,7900283,0
13305,41.20,1,1,mid,7937771,1
13306,47.76.1,-1,2,mid,7980652,0
13307,45.31,-1,1,new,7982461,1
13308,47.91,-1,2,old,7926110,0
13309,79.11,-1,2,old,7967155,0
13310,81.10,2,2,old,7917816,1
13311,53.20.3,-1,2,mid,7981253,1
13312,43.29,2,2,mid,7925752,1
13313,62.01,-1,2,old,7996693,0
13314,41.20,-1,1,mid,7915696,1
13315,41.20,2,2,mid,7906113,1
13316,62.01,-1,2,mid,7916499,1
13317,43.32.1,-1,1,old,7987064,0
13318,46.90,2,1,mid,7909650,1
13319,43.29,-1,1,mid,7904943,1
13320,49.41.1,1,2,mid,7951672,1
13321,43.39,1,2,mid,7903025,1
13322,71.12.4,1,1,new,7920959,0
13323,46.34.1,-1,2,old,7967669,0
13324,81.10,1,2,mid,7921416,0
13325,46.73,2,1,old,7902823,1
13326,46.90,1,1,mid,7905522,1
13327,62.01,-1,2,mid,7996773,1
13328,49.41,-1,1,new,7908583,0
13329,41.20,1,1,old,7953860,0
13330,49.41.3,-1,2,mid,7966368,0
13331,46.73,2,1,mid,7925038,1
13332,47.64,-1,2,mid,7950545,1
13334,43.22,-1,2,mid,7952649,0
13335,95.22,-1,2,mid,7996533,1
13336,49.42,2,1,mid,7915134,1
13337,43.29,2,1,mid,7937201,1
13339,52.10,-1,2,mid,7967213,0
13340,47.72,-1,2,old,7927535,0
13341,45.20,-1,2,old,7909463,1
13342,43.31,2,1,mid,7996846,0
13343,82.11,2,1,old,7915038,1
13345,47.91.2,-1,2,mid,7995630,0
13346,43.32.3,-1,1,mid,7910574,0
13347,93.29,-1,2,new,7977732,0
13348,46.41,1,1,mid,7906618,0
13349,43.39,2,2,mid,7951211,1
13350,69.20,2,1,mid,7910161,1
13351,63.11,1,1,old,7996512,1
13352,46.90,2,1,mid,7952930,1
13353,41.20,1,1,mid,7939787,0
13354,45.20,-1,2,old,7918148,0
13355,47.91,1,2,mid,7919428,1
13356,43.11,-1,2,mid,7903343,1
13357,49.41,2,1,mid,7913306,0
13358,43.29,-1,2,mid,7903776,1
13359,46.90,2,1,mid,7966356,1
13360,96.02,-1,2,mid,7922129,1
13361,43.12,-1,2,mid,7915886,1
13362,49.41,-1,2,mid,7951751,0
13363,56.10,-1,1,mid,7960826,1
13364,47.91,-1,1,mid,7916348,1
13365,01.11,-1,2,new,7961082,0
13366,49.41.2,-1,2,mid,7908746,0
13367,46.73.6,-1,1,old,7913268,1
13368,95.11,-1,1,old,7915480,0
13369,63.11.1,1,1,mid,7916364,0
13370,43.21,-1,2,old,7995098,0
13371,41.20,-1,1,mid,7953434,1
13372,49.41,-1,1,mid,7916827,1
13373,46.90,-1,1,mid,7977802,0
13374,74.10,-1,2,mid,7906395,0
13375,41.20,2,1,mid,7928508,1
13376,47.91,1,2,mid,7985798,0
13377,47.22,1,2,mid,7952809,0
13378,69.10,-1,2,old,7999530,0
13379,43.22,1,2,mid,7912878,1
13380,71.12,2,1,mid,7953863,0
13383,47.76,1,2,old,7900095,1
13384,68.20,-1,2,mid,7978293,0
13385,56.29,-1,2,old,7952378,0
13386,43.21,1,2,mid,7929931,0
13387,66.19,-1,2,old,7995342,0
13388,47.91,1,2,mid,7985719,1
13389,95.11,-1,2,old,7965431,0
13390,25.11,1,2,old,7952070,0
13391,62.02,-1,2,new,7916191,0
13392,41.20,-1,2,mid,7937247,0
13393,22.11,-1,2,old,7902426,1
13394,43.29,2,1,old,7953876,1
13395,56.10,-1,2,mid,7915349,0
13396,68.32,-1,1,mid,7999654,0
13397,46.74,-1,1,mid,7915364,1
13398,41.20,-1,2,mid,7963571,0
13399,56.30,-1,1,mid,7905838,1
13400,43.21,-1,2,mid,7913563,1
13401,46.90,2,1,mid,7982645,1
13402,43.31,1,2,mid,7923693,1
13403,74.30,-1,2,old,7923192,0
13404,41.20,2,1,mid,7996235,1
13405,43.39,2,1,mid,7996376,1
13406,43.33,1,2,mid,7938426,1
13408,47.64,-1,1,old,7985798,0
13409,46.46.2,-1,1,mid,7901683,0
13410,73.11,1,1,old,7923306,0
13411,53.20.39,-1,2,old,7960264,0
13412,49.41,1,1,new,7912218,1
13413,43.21,-1,2,mid,7903679,0
13414,66.19.4,-1,2,mid,7913917,0
13415,47.71,-1,2,old,7913385,1
13416,85.41.9,-1,2,mid,7903739,1
13417,41.20,2,1,mid,7981256,1
13418,41.20,-1,2,mid,7931279,0
13419,46.4,-1,1,mid,7922700,0
13420,49.42,-1,2,old,7920039,1
13421,43.21,1,1,mid,7930380,0
13422,47.76.1,-1,2,mid,7909443,1
13423,73.20,-1,2,mid,7917273,0
13424,43.21,-1,2,mid,7912884,1
13425,46.73,-1,1,mid,7913707,1
13426,53.20,1,2,mid,7961330,1
13427,45.20,-1,2,mid,7913895,0
13428,45.20,-1,2,old,7995300,0
13429,47.91,-1,2,mid,7965583,0
13430,55.20,-1,2,mid,7927904,0
13431,46.90,-1,1,mid,7926455,0
13432,47.52,-1,1,mid,7989202,1
13433,46.73,2,2,mid,7982305,1
13434,41.20,1,1,mid,7987816,1
13435,96.02,-1,2,mid,7995159,0
13436,33.12,-1,1,old,7952372,0
13437,96.02,-1,2,mid,7915975,0
13438,62.01,-1,2,old,7920406,0
13439,52.29,-1,2,mid,7917156,0
13440,74.20,2,2,mid,7925104,1
13441,41.20,2,1,new,7901042,1
13442,43.29,1,2,mid,7926758,1
13443,93.29,-1,2,mid,7938895,1
13444,46.90,1,1,mid,7936100,0
13445,81.10,-1,1,old,7905638,0
13446,43.21,1,2,mid,7903826,1
13447,47.91,-1,2,new,7916770,0
13448,47.22,1,2,mid,7937231,0
13449,29.32,-1,2,mid,7905454,0
13450,49.41,2,2,mid,7912689,1
13451,01.41,-1,2,mid,7915062,0
13452,49.42,1,1,mid,7905302,0
13453,41.20,1,2,mid,7963135,0
13454,81.21,2,1,mid,7912248,1
13455,73.11,-1,1,mid,7926589,0
13456,43.32,1,2,mid,7922219,0
13457,43.29,2,1,mid,7963616,1
13458,69.20,1,1,mid,7980685,1
13459,43.11,-1,1,mid,7910864,0
13460,46.73,1,2,old,7980343,1
13461,62.02,-1,1,mid,7912846,0
13462,01.11.1,-1,1,old,7966717,0
13463,45.31,1,1,mid,7952941,0
13464,62.01,-1,1,mid,7961807,0
13465,46.90,-1,2,old,7900966,1
13466,49.41,2,2,mid,7912896,1
13467,43.34,2,1,mid,7905181,0
13468,46.43,-1,1,mid,7905535,0
13469,41.20,2,1,old,7917787,1
13470,63.11,-1,2,mid,7961365,0
13471,46.47.2,2,1,mid,7926025,0
13472,49.41,1,1,old,7982123,1
13473,49.31,-1,2,mid,7982767,0
13474,43.29,-1,1,mid,7919333,1
13475,41.20,-1,1,new,7901512,0
13476,69.20,-1,2,old,7930873,0
13477,45.31.1,-1,1,mid,7921195,0
13478,47.25,-1,2,mid,7981848,0
13479,43.31,-1,2,old,7909093,0
13480,47.91,-1,2,mid,7909564,0
13482,42.11,-1,1,old,7906187,0
13483,62.01,-1,2,mid,7906918,0
13485,32.13,-1,2,old,7900130,0
13486,71.20,-1,1,mid,7903352,0
13487,69.10,-1,2,mid,7922064,0
13488,43.39,1,1,mid,7980231,1
13489,81.21,-1,2,mid,7914423,0
13490,49.41,1,1,mid,7901486,0
13491,47.21,1,2,mid,7910896,1
13492,46.69,-1,1,mid,7922723,1
13493,88.91,-1,2,mid,7977812,0
13494,41.20,-1,2,old,7906062,0
13495,47.75,1,2,mid,7952006,1
13496,63.91,-1,2,mid,7965647,1
13497,55.20,-1,2,mid,7926970,0
13498,62.01,-1,2,mid,7902903,0
13500,90.03,-1,2,old,7981877,0
13501,46.73,2,1,mid,7912259,1
13502,41.20,1,1,mid,7919179,0
13503,42.11,-1,2,mid,7951928,1
13505,38.21,-1,1,mid,7921892,0
13507,88.10,-1,1,old,7980240,1
13508,62.01,-1,2,old,7915022,0
13509,46.13.2,2,1,mid,7912613,1
13510,82.99,-1,2,mid,7952360,1
13511,62.01,1,1,old,7926026,1
13512,43.21,1,2,mid,7923690,0
13513,41.20,-1,1,old,7983135,1
13514,74.10,1,2,mid,7921574,1
13515,93.29,-1,2,mid,7963593,1
13516,52.29,-1,1,old,7913450,0
13518,47.11,-1,2,mid,7963344,0
13519,73.11,-1,2,mid,7995930,0
13520,47.64,-1,2,mid,7985880,1
13521,47.19,2,1,mid,7996815,0
13522,43.29,1,1,mid,7913069,1
13523,47.91,2,1,old,7950787,1
13524,62.01,-1,1,mid,7995387,0
13525,43.31,-1,2,mid,7991715,0
13526,47.91,-1,2,mid,7965387,0
13527,43.21,-1,2,mid,7921434,1
13528,43.31,2,1,mid,7919909,1
13529,46.61,-1,1,new,7911243,1
13530,85.42,-1,2,old,7927713,0
13531,74.20,1,2,mid,7950041,1
13532,46.90,1,1,mid,7987632,1
13533,95.11,-1,2,mid,7903504,0
13534,43.21,1,1,mid,7983139,1
13535,46.90,-1,1,old,7913095,1
13537,68.20,-1,2,old,7923162,0
13538,43.31,-1,2,mid,7921657,1
13539,69.20,-1,1,old,7918979,0
13540,46.90,2,1,mid,7996233,1
13541,33.12,1,1,new,7910967,0
13542,47.9,-1,2,old,7911194,0
13543,46.39,-1,2,mid,7913923,0
13544,62.01,1,2,old,7960036,1
13545,95.21,-1,2,new,7963533,0
13546,82.92,1,1,old,7925825,1
13547,20.16,-1,1,mid,7917245,0
13548,70.22,-1,2,mid,7900111,0
13549,62.01,-1,2,old,7912856,1
13550,96.02,-1,2,old,7913515,1
13551,45.32.2,-1,2,old,7951848,1
13552,62.0,-1,2,old,7913905,0
13553,41.20,1,1,old,7923692,1
13554,69.10,-1,2,old,7910134,0
13555,81.10,-1,2,old,7968613,1
13556,61.10.4,-1,1,new,7923640,0
13557,41.20,1,1,mid,7967387,1
13558,62.01,1,2,old,7981895,1
13560,46.73,2,1,mid,7922710,0
13561,23.61,-1,1,old,7920432,0
13562,41.20,-1,2,mid,7912587,0
13564,46.41,1,1,mid,7916208,1
13565,70.22,-1,2,old,7985723,1
13566,14.11,-1,2,mid,7922208,0
